DataStream, TIMESTAMP_start, TIMESTAMP_end, parameter, colnumber, flag, flagcol, notes
CAT, 2020-07-20 10:49:00 EST, 2020-07-20 11:20:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2020-07-27 11:35:00 EST, 2020-07-27 12:00:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2020-07-27 06:40:00 EST, 2020-07-28 16:10:00 EST, EXO_Cond*, c(24:26), 2, c(60:62), high conductivity event not represenative of whole reservoir
CAT, 2020-08-03 11:50:00 EST, 2020-08-03 12:30:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2020-08-03 11:50:00 EST, 2020-08-05 00:00:00 EST, doobs_9, 18, 1, 56, sensor data very high and not agreeing with handheld DO probe
CAT, 2020-08-03 11:50:00 EST, 2020-08-05 00:00:00 EST, dosat_9, 19, 1, 57, sensor data very high and not agreeing with handheld DO probe
CAT, 2020-08-07 10:00:00 EST, 2020-08-07 12:50:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and changed DO caps on EXO and RDO
CAT, 2020-08-07 07:40:00 EST, 2020-08-12 00:00:00 EST, EXO_Cond*, c(24:26), 2, c(60:62), high conductivity event not represenative of whole reservoir
CAT, 2020-08-10 12:20:00 EST, 2020-08-10 12:40:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2020-08-11 07:00:00 EST, 2020-08-17 12:50:00 EST, doobs_9, 18, 6, 56, apparent fouling on DO sensor and corrected with linear adjustment
CAT, 2020-08-11 07:00:00 EST, 2020-08-17 12:50:00 EST, doobs_9, 19, 6, 57, apparent fouling on DO sensor and corrected with linear adjustment
CAT, 2020-08-13 09:20:00 EST, 2020-08-13 12:40:00 EST, EXO_Cond*, c(24:26), 2, c(60:62), high conductivity event not represenative of whole reservoir
CAT, 2020-08-17 12:42:00 EST, 2020-08-17 15:40:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and calibrated DO caps on EXO and RDO
CAT, 2020-08-18 09:50:00 EST, 2020-08-22 12:40:00 EST, EXO_Cond*, c(24:26), 2, c(60:62), high conductivity event not represenative of whole reservoir
CAT, 2020-08-19 20:00:00 EST, 2020-08-24 10:40:00 EST, doobs_9, 18, 6, 56, apparent fouling on DO sensor and corrected with linear adjustment
CAT, 2020-08-19 20:00:00 EST, 2020-08-24 10:40:00 EST, doobs_9, 19, 6, 57, apparent fouling on DO sensor and corrected with linear adjustment
CAT, 2020-08-24 08:51:00 EST, 2020-08-24 08:52:00 EST, All_Cat, 37, 5, 73, added a depth correction factor of -0.2m to the EXO 
CAT, 2020-08-24 10:47:00 EST, 2020-08-24 11:20:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2020-08-26 12:00:00 EST, 2020-09-02 10:50:00 EST, doobs_9, 18, 6, 56, apparent fouling on DO sensor and corrected with linear adjustment
CAT, 2020-08-26 12:00:00 EST, 2020-09-02 10:50:00 EST, doobs_9, 19, 6, 57, apparent fouling on DO sensor and corrected with linear adjustment
